# 西東京: 1974年以降の選手権西東京大会 + 1973年以前の東京大会(東西共通で両ランキングに算入)
# 単独開催のみ収録(関東・京浜・神静・甲神静・南関東大会の年は対象外)。1923-30年はリーグ戦等のため優勝(・準優勝)のみ
# 出典: bibijr.vivian.jp(高校野球データベース)のトーナメント表より集計
年,ブロック,優勝,準優勝,ベスト4,ベスト4,ベスト8,ベスト8,ベスト8,ベスト8,決勝勝者得点,決勝敗者得点
1993,,堀越,国士舘,日大二,創価,駒大高,世田谷学園,工学院大付,東海大菅生,5,2
1994,,創価,国士舘,八王子,桜美林,東農大一,東海大菅生,日大三,国学院久我山,17,3
1995,,創価,国学院久我山,都四商,東海大菅生,大泉,駒大高,立川,八王子,9,6
1996,,東海大菅生,東亜学園,創価,国学院久我山,明星,桜美林,実践学園,日大鶴ヶ丘,7,5
1997,,堀越,創価,日大三,東海大菅生,錦城,佼成学園,大泉,昭和一学園,12,11
1998,,桜美林,八王子,国学院久我山,日大鶴ヶ丘,都四商,日大三,東亜学園,明大中野,4,3
1999,,日大三,国学院久我山,堀越,桜美林,国分寺,明星,帝京八王子,東亜学園,8,6
2000,,東海大菅生,明大中野八王子,法政一,堀越,日大鶴ヶ丘,国学院久我山,桜美林,東亜学園,5,3
2001,,日大三,東亜学園,創価,八王子実践,日大鶴ヶ丘,早稲田実,東海大菅生,八王子,9,6
2002,,桜美林,日大鶴ヶ丘,早稲田実,日大三,国分寺,日野台,狛江,東海大菅生,4,0
2003,,日大三,東海大菅生,堀越,早稲田実,創価,八王子北,拓大一,八王子実践,4,3
2004,,日大三,穎明館,昭和,国立,国学院久我山,拓大一,八王子,日大鶴ヶ丘,11,3
2005,,日大三,明大中野八王子,早稲田実,小平,保谷,日野台,堀越,八王子,13,2
2006,,早稲田実,日大三,日大鶴ヶ丘,多摩大聖ヶ丘,東海大菅生,桜美林,東亜学園,専大付,5,4
2007,,創価,八王子,日大三,佼成学園,堀越,昭和,小平南,富士,6,3
2008,,日大鶴ヶ丘,早稲田実,日大二,日大三,堀越,法政大高,小平,明大中野八王子,13,5
2009,,日大三,日大二,日野,小平,東亜学園,狛江,八王子,国学院久我山,19,2
2010,,早稲田実,日大鶴ヶ丘,早大学院,日大三,創価,東亜学園,桜美林,堀越,3,0
2011,,日大三,早稲田実,日大鶴ヶ丘,佼成学園,堀越,早大学院,国学院久我山,穎明館,2,1
2012,,日大三,佼成学園,創価,片倉,日野,国学院久我山,日大二,東亜学園,2,1
2013,,日大三,日野,創価,国士舘,専大付,東海大菅生,明大中野八王子,早稲田実,5,0
2014,,日大鶴ヶ丘,東海大菅生,国学院久我山,日大三,小平,駒場学園,八王子,明大中野八王子,2,1
2015,,早稲田実,東海大菅生,日大三,国学院久我山,八王子,昭和,国士舘,聖パウロ学園,8,6
2016,,八王子,東海大菅生,創価,日大三,早稲田実,早大学院,国学院久我山,聖パウロ学園,5,3
2017,,東海大菅生,早稲田実,日大二,八王子,日大三,佼成学園,日本学園,明大中野八王子,6,2
2018,,日大三,日大鶴ヶ丘,東海大菅生,国士舘,片倉,八王子,創価,国分寺,5,3
2019,,国学院久我山,創価,東海大菅生,桜美林,日大鶴ヶ丘,豊多摩,早稲田実,日大三,4,2
2021,,東海大菅生,国学院久我山,日大三,世田谷学園,創価,狛江,駒大高,明大中野八王子,8,3
2022,,日大三,東海大菅生,富士森,国士舘,桜美林,国学院久我山,早稲田実,日大鶴ヶ丘,6,2
2023,,日大三,日大鶴ヶ丘,明大中野八王子,早大学院,駒大高,早稲田実,佼成学園,創価,3,1
2024,,早稲田実,日大三,創価,日大二,拓大一,早大学院,国学院久我山,桜美林,10,9
2025,,日大三,東海大菅生,国士舘,八王子,佼成学園,八王子実践,早大学院,早稲田実,8,4
