統合前,統合後
早稲田中,早稲田
成城中,成城
立教中,立教
麻布中,麻布
攻玉社中,攻玉社
明治中,明治
日大一中,日大一
日大二中,日大二
日大三中,日大三
日本中,日本学園
慶応普通部,慶応
慶応商工,慶応
帝京商,帝京商工
帝京商工,帝京八王子
府一中,都一中
都一中,都立一
都立一,日比谷
都二中,都立二
都立二,立川
都立八,小山台
東京高師付中,東京教大付
京王商,専大京王
専大京王,専大付
久我山,国学院久我山
荏原中,荏原
荏原,日体荏原
日体荏原,日体大荏原
東京菅生,東海大菅生
実践商,実践学園
大森工,大森学園
成立,成立学園
工学院大高,工学院大付
