# 鹿児島単独開催の選手権鹿児島大会のみ収録(合同予選の年は対象外)
# 出典: bibijr.vivian.jp(高校野球データベース)のトーナメント表より集計
年,ブロック,優勝,準優勝,ベスト4,ベスト4,ベスト8,ベスト8,ベスト8,ベスト8,決勝勝者得点,決勝敗者得点
2011,,神村学園,薩摩中央,鹿屋中央,鹿児島実,樟南,鹿児島工,伊集院,鹿児島情報,9,1
2012,,神村学園,鹿児島実,加治木工,川内,鹿児島工,鹿児島玉龍,伊集院,樟南,11,3
2013,,樟南,鹿児島実,鹿児島情報,鹿屋工,鹿屋中央,神村学園,国分中央,鹿児島中央,4,3
2014,,鹿屋中央,神村学園,国分中央,鹿屋,川内,鹿児島情報,鹿児島実,川内商工,3,1
2015,,鹿児島実,鹿児島城西,神村学園,鹿児島情報,出水中央,国分中央,徳之島,鶴丸,7,5
2016,,樟南,鹿児島実,川内,志布志,鹿児島工,神村学園,薩南工,れいめい,3,2
2017,,神村学園,鹿児島,樟南,鹿屋中央,川内商工,大島,鹿児島実,鹿児島城西,5,2
2018,,鹿児島実,鹿屋中央,鹿屋農,鹿児島南,指宿商,鹿児島,樟南,加治木,9,1
2019,,神村学園,鹿屋中央,国分中央,れいめい,大島,鹿児島情報,樟南,鹿児島玉龍,5,3
2021,,樟南,鹿児島実,神村学園,れいめい,鹿屋中央,鹿屋農,尚志館,大島,7,0
2022,,鹿児島実,大島,鹿屋中央,国分中央,鹿児島城西,鹿児島,れいめい,出水中央,3,2
2023,,神村学園,鹿屋中央,鹿児島実,鹿児島城西,出水中央,樟南,枕崎,れいめい,8,5
2024,,神村学園,樟南,枕崎,鹿児島城西,鹿屋中央,鶴丸,鹿児島実,鹿児島情報,8,0
2025,,神村学園,れいめい,樟南,鹿児島実,加治木,鹿児島工,出水工,鹿屋中央,15,6
