# 神奈川単独開催の選手権神奈川大会のみ収録(合同予選の年は対象外)
# 出典: bibijr.vivian.jp(高校野球データベース)のトーナメント表より集計
年,ブロック,優勝,準優勝,ベスト4,ベスト4,ベスト8,ベスト8,ベスト8,ベスト8,決勝勝者得点,決勝敗者得点
2006,,横浜,東海大相模,桐蔭学園,横浜商大高,横浜創学館,光明相模原,桐光学園,鎌倉学園,15,7
2007,,桐光学園,東海大相模,慶応,横浜,横浜創学館,横浜商,光明相模原,川和,10,8
2008,北,慶応,東海大相模,桐光学園,綾瀬,川崎工,川崎北,日大高,武相,9,6
2008,南,横浜,横浜創学館,藤沢西,藤沢総合,鎌倉学園,桜丘,横浜商,横須賀総合,8,2
2009,,横浜隼人,桐蔭学園,桐光学園,横浜創学館,横浜,藤嶺藤沢,横浜商大高,向上,6,5
2010,,東海大相模,横浜,武相,横浜隼人,慶応,光明相模原,桐蔭学園,横浜創学館,9,3
2011,,横浜,桐光学園,横浜創学館,桐蔭学園,立花学園,向上,法政二,武相,2,1
2012,,桐光学園,桐蔭学園,平塚学園,日大藤沢,横浜,慶応,横浜商大高,横浜隼人,11,4
2013,,横浜,平塚学園,東海大相模,桐蔭学園,桐光学園,弥栄,向上,慶応,3,0
2014,,東海大相模,向上,横浜,横浜隼人,橘学苑,相模原,相洋,桐光学園,13,0
2015,,東海大相模,横浜,日大藤沢,桐光学園,平塚学園,山手学院,横浜隼人,慶応,9,0
2016,,横浜,慶応,桐光学園,桐蔭学園,横浜隼人,藤沢翔陵,東海大相模,日大高,9,3
2017,,横浜,東海大相模,桐光学園,日大高,相洋,慶応,日大藤沢,立花学園,9,3
2018,北,慶応,桐光学園,東海大相模,横浜商大高,桐蔭学園,相模原,弥栄,白山,7,5
2018,南,横浜,鎌倉学園,星槎国際湘南,横浜創学館,立花学園,金沢,藤沢翔陵,藤嶺藤沢,7,3
2019,,東海大相模,日大藤沢,桐光学園,相模原,鎌倉学園,向上,相洋,横浜,24,1
2021,,横浜,横浜創学館,藤沢翔陵,慶応,向上,東海大相模,横浜清陵,日大藤沢,17,3
2022,,横浜,東海大相模,立花学園,横浜創学館,藤沢翔陵,藤沢清流,慶応,三浦学苑,1,0
2023,,慶応,横浜,東海大相模,横浜商,横浜創学館,桐光学園,相洋,日大藤沢,6,5
2024,,東海大相模,横浜,武相,向上,桐光学園,横浜隼人,日大藤沢,桐蔭学園,6,4
2025,,横浜,東海大相模,立花学園,向上,平塚学園,藤沢翔陵,日大高,日大藤沢,11,3
