# 南北海道: 1959年以降の選手権北/南北海道大会 + 1958年以前の全道大会(南北共通で両ランキングに算入)
# 出典: bibijr.vivian.jp(高校野球データベース)のトーナメント表より集計
年,ブロック,優勝,準優勝,ベスト4,ベスト4,ベスト8,ベスト8,ベスト8,ベスト8,決勝勝者得点,決勝敗者得点
1988,,札幌開成,北海道桜丘,札幌第一,東海大四,岩見沢農,室蘭大谷,北照,駒大岩見沢,6,3
1989,,北海,駒大岩見沢,苫小牧工,木古内,苫小牧東,夕張南,函館工,室蘭大谷,4,0
1990,,函館大有斗,札幌第一,北照,北海道桜丘,室蘭大谷,札幌琴似工,苫小牧工,東海大四,2,1
1991,,北照,札幌第一,札幌南,東海大四,北海道桜丘,室蘭大谷,苫小牧工,北海,4,1
1992,,北海,函館工,東海大四,苫小牧工,北照,札幌商,小樽桜陽,札幌第一,3,1
1993,,東海大四,苫小牧工,函館大有斗,室蘭大谷,札幌第一,北広島,知内,駒大岩見沢,4,2
1994,,北海,札幌南,東海大四,苫小牧工,知内,函館高専,札幌工,札幌創成,5,2
1995,,北海道工,北照,室蘭大谷,駒大岩見沢,北海道桜丘,江差,函館大有斗,知内,4,3
1996,,北海,東海大四,札幌国際情報,北照,駒大苫小牧,札幌創成,北海道桜丘,札幌南,5,1
1997,,函館大有斗,札幌南,知内,北照,札幌新川,虻田,静内,東海大四,6,5
1998,,駒大岩見沢,札幌南,札幌商,北照,苫小牧東,北海,苫小牧高専,室蘭大谷,10,7
1999,,北海,駒大岩見沢,駒大苫小牧,北照,室蘭大谷,岩見沢農,東海大四,苫小牧南,1,0
2000,,札幌南,北照,室蘭大谷,函館工,駒大岩見沢,江差,苫小牧工,駒大苫小牧,6,2
2001,,駒大苫小牧,北海,函館工,北照,札幌創成,札幌南,札幌白石,鵡川,13,3
2002,,札幌第一,尚志学園,岩内,東海大四,駒大苫小牧,室蘭大谷,札幌日大,江差,8,4
2003,,駒大苫小牧,北海道栄,尚志学園,駒大岩見沢,夕張,札幌日大,立命館慶祥,苫小牧東,9,0
2004,,駒大苫小牧,北海道栄,東海大四,駒大岩見沢,立命館慶祥,札幌第一,大麻,小樽潮陵,6,3
2005,,駒大苫小牧,北照,駒大岩見沢,北海,札幌国際情報,函館大有斗,知内,鵡川,5,4
2006,,駒大苫小牧,札幌光星,北照,駒大岩見沢,北海道栄,函館大有斗,小樽潮陵,鵡川,11,1
2007,,駒大苫小牧,函館工,北海学園札幌,札幌南,北照,函館大有斗,立命館慶祥,札幌日大,15,0
2008,,北海,札幌第一,北照,東海大四,駒大苫小牧,札幌日大,苫小牧工,苫小牧中央,6,0
2009,,札幌第一,北照,函館工,札幌新川,駒大苫小牧,小樽工,北海道栄,函館大有斗,8,4
