統合前,統合後
函館中,函館中部
北海中,北海
小樽中,小樽潮陵
旭川中,旭川
旭川,旭川東
札幌一中,札幌一
札幌一,札幌南
札幌二中,札幌西
釧路中,釧路
釧路,釧路湖陵
帯広中,帯広
帯広,帯広柏葉
野付牛中,北見北斗
室蘭中,室蘭栄
名寄中,名寄
網走中,網走
網走,網走南ヶ丘
岩見沢,岩見沢東
八雲中,八雲
札幌光星中,札幌光星
札幌光星商,札幌光星
旭川市中,旭川市立
函館有斗,函館大有斗
旭川大高,旭川志峯
旭川竜谷,旭川龍谷
東海大四,東海大札幌
釧路短大付,釧路緑ヶ岡
釧路緑ヶ岡,武修館
