# 北北海道: 1959年以降の選手権北/南北海道大会 + 1958年以前の全道大会(南北共通で両ランキングに算入)
# 出典: bibijr.vivian.jp(高校野球データベース)のトーナメント表より集計
年,ブロック,優勝,準優勝,ベスト4,ベスト4,ベスト8,ベスト8,ベスト8,ベスト8,決勝勝者得点,決勝敗者得点
1987,,帯広北,釧路湖陵,旭川北,旭川東,遠軽,釧路西,雄武,白樺学園,6,0
1988,,滝川西,旭川竜谷,釧路工,北見緑陵,稚内大谷,帯広工,砂川北,天塩,4,2
1989,,帯広北,砂川北,滝川西,帯広三条,旭川実,北見柏陽,稚内大谷,白糠,6,5
1990,,中標津,旭川竜谷,滝川西,釧路工,帯広南商,旭川北,稚内大谷,北見緑陵,4,0
1991,,旭川工,旭川東栄,帯広北,本別,帯広三条,砂川北,釧路工,滝川西,5,1
1992,,砂川北,旭川竜谷,遠軽,旭川北,帯広北,釧路緑ヶ岡,名寄工,釧路工,7,0
1993,,旭川大高,稚内大谷,帯広三条,帯広南商,北見緑陵,芦別,滝川西,釧路緑ヶ岡,2,1
1994,,砂川北,滝川西,北見緑陵,釧路西,白樺学園,旭川東,遠軽,帯広南商,5,2
1995,,旭川実,帯広南商,旭川工,滝川西,網走南ヶ丘,帯広三条,士別,帯広北,7,4
1996,,旭川工,帯広南商,旭川大高,旭川竜谷,帯広北,帯広農,北見柏陽,砂川北,8,2
1997,,旭川大高,滝川西,旭川竜谷,帯広南商,帯広北,北見緑陵,旭川実,稚内大谷,4,3
1998,,滝川西,帯広南商,遠軽,釧路北陽,釧路江南,留萌,中標津,旭川竜谷,6,2
1999,,旭川実,帯広南商,稚内大谷,名寄,旭川竜谷,釧路湖陵,北見北斗,釧路北陽,8,7
2000,,旭川大高,帯広三条,稚内大谷,北見工,釧路工,帯広南商,旭川東,釧路北陽,5,3
2001,,帯広三条,旭川実,旭川竜谷,滝川西,帯広南商,稚内大谷,旭川大高,釧路江南,7,6
2002,,旭川工,砂川北,北見柏陽,網走向陽,遠軽,滝川西,釧路江南,旭川大高,5,4
2003,,旭川大高,滝川西,雄武,白樺学園,釧路江南,砂川北,釧路北陽,帯広北,3,1
2004,,旭川北,雄武,白樺学園,帯広農,深川東商,旭川竜谷,旭川実,根室,9,5
2005,,旭川工,遠軽,白樺学園,帯広三条,武修館,砂川北・砂川,北見工,士別,6,2
2006,,白樺学園,遠軽,釧路江南,旭川実,帯広工,旭川北,釧路商,深川西,9,1
2007,,駒大岩見沢,旭川実,中標津,白樺学園,帯広工,旭川南,武修館,旭川竜谷,9,2
2008,,駒大岩見沢,白樺学園,旭川工,旭川実,北見柏陽,稚内大谷,武修館,北見工,5,3
2009,,旭川大高,帯広大谷,武修館,釧路江南,旭川工,釧路工,旭川実,遠軽,5,1
2010,,旭川実,武修館,駒大岩見沢,遠軽,旭川龍谷,稚内大谷,帯広農,釧路江南,9,4
2011,,白樺学園,遠軽,女満別,駒大岩見沢,旭川西,岩見沢東,釧路江南,旭川工,5,0
2012,,旭川工,遠軽,帯広三条,富良野,北見北斗,武修館,帯広農,滝川工,2,1
2013,,帯広大谷,旭川南,旭川龍谷,帯広三条,滝川西,旭川工,駒大岩見沢,帯広柏葉,4,3
2014,,武修館,釧路工,旭川大高,北見北斗,天塩,遠軽,岩見沢東,網走桂陽,8,5
2015,,白樺学園,旭川実,北見工,武修館,稚内大谷,旭川西,北見北斗,岩見沢緑陵,13,4
2016,,クラーク国際,滝川西,旭川実,江陵,釧路湖陵,帯広柏葉,旭川大高,釧路工,3,0
2017,,滝川西,白樺学園,旭川大高,旭川龍谷,帯広大谷,武修館,網走南ヶ丘,釧路北陽,3,2
2018,,旭川大高,クラーク国際,旭川実,北見北斗,帯広大谷,紋別,旭川龍谷,釧路江南,5,3
2019,,旭川大高,クラーク国際,旭川北,武修館,帯広北,滝川西,旭川明成,旭川龍谷,9,0
2021,,帯広農,帯広大谷,滝川西,旭川大高,釧路北陽,旭川工,稚内大谷,滝川,19,2
2022,,旭川大高,旭川東,クラーク国際,滝川西,岩見沢東,白樺学園,帯広大谷,武修館,7,1
2023,,クラーク国際,旭川明成,士別翔雲,白樺学園,武修館,旭川志峯,釧路工,帯広農,1,0
2024,,白樺学園,クラーク国際,旭川実,旭川志峯,士別翔雲,北見柏陽,遠軽,帯広大谷,5,2
2025,,旭川志峯,白樺学園,士別翔雲,帯広大谷,旭川龍谷,クラーク国際,北見北斗,旭川明成,4,3
