統合前,統合後
神戸一中,神戸
神戸二中,神戸二
神戸二,県兵庫
神戸三中,長田
姫路中,姫路西
明石中,明石
洲本中,洲本
豊岡中,豊岡
伊丹中,県伊丹
尼崎中,県尼崎
三田中,三田
三田,三田学園
甲陽中,甲陽学院
甲南中,甲南
灘中,灘
芦屋中,芦屋
芦屋,県芦屋
鳴尾中,鳴尾
滝川中,滝川
育英商,育英
報徳商,報徳学園
神港商,第一神港商
第一神港商,市神港
神港中,私神港
私神港,神港学園
