# 兵庫単独開催の選手権兵庫大会のみ収録(合同予選の年は対象外)
# 出典: bibijr.vivian.jp(高校野球データベース)のトーナメント表より集計
年,ブロック,優勝,準優勝,ベスト4,ベスト4,ベスト8,ベスト8,ベスト8,ベスト8,決勝勝者得点,決勝敗者得点
1983,,市尼崎,洲本,滝川,県尼崎,高砂南,三田学園,尼崎小田,東播工,8,0
1984,,明石,村野工,神港学園,育英,舞子,明石商,県尼崎工,東洋大姫路,3,2
1985,,東洋大姫路,報徳学園,神港学園,県尼崎,夢野台,明石南,津名,赤穂,2,1
1986,,東洋大姫路,滝川二,西宮南,明石,星陵,須磨,神戸弘陵,加古川西,8,7
1987,,明石,高砂,社,東洋大姫路,武庫荘,舞子,宝塚西,村野工,4,1
1988,,滝川二,東洋大姫路,神戸弘陵,育英,加古川東,県伊丹,神港学園,津名,7,4
1989,,神戸弘陵,神港学園,津名,東洋大姫路,社,育英,関西学院,報徳学園,11,1
1990,,育英,東洋大姫路,加古川西,報徳学園,神戸高塚,川西緑台,滝川二,御影工,9,8
1991,,村野工,神港学園,報徳学園,津名,姫路工,市尼崎,育英,高砂,5,3
1992,,神港学園,滝川二,育英,市川,尼崎産,明石西,明石,西脇工,7,4
1993,,育英,姫路工,滝川二,明石,伊丹北,高砂南,神戸弘陵,市神港,1,0
1994,,姫路工,飾磨,神戸弘陵,西宮南,市神港,三田学園,報徳学園,尼崎北,2,0
1995,,尼崎北,神戸弘陵,伊丹北,報徳学園,神港学園,三原,神戸国際大付,洲本実,5,2
1996,,神港学園,育英,神戸国際大付,報徳学園,県尼崎工,仁川学院,姫路工,関西学院,15,3
1997,,報徳学園,神港学園,神戸弘陵,姫路工,神戸国際大付,神戸西,関西学院,小野,9,6
1998,東,報徳学園,仁川学院,市神港,滝川二,長田,神戸国際大付,県尼崎工,県尼崎,18,3
1998,西,東洋大姫路,姫路工,高砂南,社,明石南,小野,篠山鳳鳴,三原,3,2
1999,,滝川二,市川,神戸弘陵,報徳学園,神港学園,高砂南,姫路西,伊丹西,19,0
2000,,育英,関西学院,神戸国際大付,津名,県伊丹,滝川二,神港学園,姫路,11,0
2001,,東洋大姫路,姫路工,神戸国際大付,神戸弘陵,赤穂,滝川二,報徳学園,市尼崎,4,2
2002,,報徳学園,神戸国際大付,社,市尼崎,三田学園,飾磨,小野,東洋大姫路,5,0
2003,,神港学園,東洋大姫路,滝川二,育英,社,姫路工,報徳学園,関西学院,2,1
2004,,報徳学園,市尼崎,神戸国際大付,社,明石南,洲本,関西学院,八鹿,12,8
2005,,姫路工,神戸国際大付,洲本,市尼崎,龍野実,長田,社,尼崎北,3,2
2006,,東洋大姫路,神港学園,報徳学園,加古川東,市尼崎,高砂,市川,神戸国際大付,5,4
2007,,報徳学園,神戸国際大付,関西学院,神戸弘陵,尼崎産,明石南,市尼崎,市川,10,6
2008,東,報徳学園,神戸弘陵,滝川二,神港学園,伊丹北,市西宮,伊丹西,滝川,2,1
2008,西,加古川北,洲本,北条,明石商,市川,社,小野,龍野,5,2
2009,,関西学院,育英,滝川二,社,神戸弘陵,神港学園,科学技術,洲本,4,1
2010,,報徳学園,市川,神戸国際大付,神港学園,市神港,伊丹西,明石商,長田,4,0
2011,,東洋大姫路,加古川北,川西緑台,神戸国際大付,明石商,社,須磨東,報徳学園,6,0
2012,,滝川二,加古川北,報徳学園,関西学院,社,明石商,長田,尼崎双星・産・東,6,2
2013,,西脇工,東洋大姫路,育英,報徳学園,明石商,六甲アイランド,市尼崎,武庫荘総合,3,2
2014,,神戸国際大付,三田松聖,社,関西学院,滝川,明石商,市西宮,加古川北,11,1
2015,,滝川二,明石商,西脇,神戸国際大付,須磨翔風,須磨友が丘,報徳学園,津名,8,2
2016,,市尼崎,明石商,社,神港学園,報徳学園,明石南,神戸国際大付,市川,3,2
2017,,神戸国際大付,明石商,報徳学園,滝川二,関西学院,市西宮,市川,育英,4,0
2018,東,報徳学園,市尼崎,神戸国際大付,村野工,長田,兵庫工,西宮東,須磨翔風,2,0
2018,西,明石商,姫路工,小野,東播工,洲本,社,三田西陵,加古川東,6,3
2019,,明石商,神戸国際大付,育英,高砂,社,姫路南,小野,加古川西,4,1
2021,,神戸国際大付,関西学院,社,報徳学園,東播磨,滝川二,兵庫工,東洋大姫路,7,3
2022,,社,神戸国際大付,加古川西,長田,明石商,神戸学院大付,滝川二,市川,6,3
2023,,社,明石商,神戸国際大付,滝川二,津名,市西宮,市川,神戸第一,5,4
2024,,報徳学園,明石商,社,東洋大姫路,神戸国際大付,加古川北,神戸学院大付,滝川二,4,0
2025,,東洋大姫路,報徳学園,神港学園,小野,社,関西学院,三田学園,神戸国際大付,7,6
