統合前,統合後
中京商,中京
中京,中京大中京
享栄商,享栄
名古屋電工,名古屋電気
名古屋電気,愛工大名電
大同工,大同工大大同
大同工大大同,大同大大同
名古屋第一,中部大一
春日丘,中部大春日丘
弥富,愛知黎明
滝実,滝
