# 愛知単独開催の選手権愛知大会のみ収録(合同予選の年は対象外)
# 出典: bibijr.vivian.jp(高校野球データベース)のトーナメント表より集計
年,ブロック,優勝,準優勝,ベスト4,ベスト4,ベスト8,ベスト8,ベスト8,ベスト8,決勝勝者得点,決勝敗者得点
2012,,愛工大名電,東邦,豊田西,西尾東,愛産大工,誉,中京大中京,豊川,3,2
2013,,愛工大名電,愛知黎明,中部大一,愛産大三河,春日丘,享栄,至学館,丹羽,2,1
2014,,東邦,栄徳,豊田西,中京大中京,大府,春日丘,桜丘,高蔵寺,4,2
2015,,中京大中京,愛工大名電,東邦,豊川,愛産大三河,誉,刈谷,愛産大工,4,3
2016,,東邦,愛工大名電,栄徳,西尾東,享栄,豊橋中央,愛産大三河,大府,7,2
2017,,中京大中京,栄徳,豊橋中央,東邦,愛工大名電,至学館,愛知,豊田工,9,1
2018,東,愛産大三河,西尾東,刈谷,豊川,日本福祉大付,半田,豊橋中央,安城,3,1
2018,西,愛工大名電,東邦,享栄,至学館,天白,日進西,愛知,中京大中京,9,4
2019,,誉,桜丘,中京大中京,至学館,愛産大三河,星城,安城東,豊川,8,1
2021,,愛工大名電,享栄,大府,中京大中京,愛知啓成,大同大大同,日本福祉大付,東邦,8,5
2022,,愛工大名電,東邦,愛知啓成,享栄,星城,春日丘,豊川,富田,7,4
2023,,愛工大名電,中京大中京,中部大春日丘,愛知啓成,享栄,中部大一,豊川,杜若,4,3
2024,,中京大中京,東邦,杜若,日本福祉大付,豊橋中央,大成,至学館,名古屋たちばな,7,3
2025,,豊橋中央,東邦,中京大中京,愛工大名電,名古屋たちばな,享栄,誉,杜若,6,5
