統合前,統合後
今宮中,今宮
北野中,北野
八尾中,八尾
市岡中,市岡
天王寺中,天王寺
住吉中,住吉
豊中中,豊中
茨木中,茨木
富田林中,富田林
岸和田中,岸和田
高津中,高津
上宮中,上宮
菊水中,菊水
生野中,生野
四条畷中,四條畷
浪速中,浪速
桃山中,桃山学院
香里中,香里
香里,同志社香里
堺中,三国丘
浪華商,浪商
浪商,大体大浪商
大鉄,阪南大高
明星商,明星
興国商,興国
日新商,日新
北陽商,北陽
北陽,関大北陽
城東工,城東工科
西野田職工,西野田工
大商大付,大商大高
大阪産大高,大阪産大付
太成,太成学院大高
此花商,此花学院
此花学院,大阪偕星
初芝,初芝立命館
金光第一,金光大阪
