# 大阪単独開催の選手権大阪大会のみ収録(合同予選の年は対象外)
# 出典: bibijr.vivian.jp(高校野球データベース)のトーナメント表より集計
年,ブロック,優勝,準優勝,ベスト4,ベスト4,ベスト8,ベスト8,ベスト8,ベスト8,決勝勝者得点,決勝敗者得点
1988,,近大付,桜宮,関西創価,布施,守口東,大商大堺,此花学院,東住吉工,2,0
1989,,上宮,近大付,浪速,渋谷,生野,市岡,四條畷,関大一,6,3
1990,,渋谷,上宮,柏原,北陽,関西創価,牧野,市岡,大阪学院大高,6,4
1991,,大阪桐蔭,近大付,渋谷,金光第一,大商学園,藤井寺工,泉尾,上宮,8,4
1992,,近大付,春日丘,大阪桐蔭,泉州,大阪産大高,東海大仰星,柏原,大阪,6,4
1993,,近大付,ＰＬ学園,上宮,市岡,北野,東海大仰星,箕面学園,天王寺,6,3
1994,,北陽,近大付,枚方津田,上宮,四條畷,大商学園,ＰＬ学園,大阪工大高,5,3
1995,,ＰＬ学園,市岡,阪南大高,関西創価,泉州,上宮,八尾東,近大付,8,4
1996,,ＰＬ学園,上宮,大阪桐蔭,大阪学院大高,北陽,初芝,大商大堺,東海大仰星,9,5
1997,,履正社,関大一,大阪桐蔭,関西創価,汎愛,ＰＬ学園,春日丘,城東工,2,1
1998,北,関大一,桜塚,桜宮,高槻北,大阪工大高,大阪学院大高,成城工,大阪産大付,4,0
1998,南,ＰＬ学園,上宮,佐野,浪速,大商大堺,高石,大商大高,近大付,2,1
1999,,北陽,上宮太子,ＰＬ学園,上宮,大商大堺,大阪産大付,大阪学院大高,島上,7,2
2000,,ＰＬ学園,履正社,北陽,大阪学院大高,上宮,上宮太子,関大一,大阪産大付,4,2
2001,,上宮太子,大阪桐蔭,履正社,桜宮,清教学園,渋谷,上宮,東海大仰星,6,5
2002,,大阪桐蔭,初芝,上宮太子,大商大堺,近大付,久米田,履正社,上宮,5,1
2003,,ＰＬ学園,大商大堺,北陽,近大付,大阪産大付,布施,浪速,初芝,5,4
2004,,ＰＬ学園,大阪桐蔭,大商大堺,北陽,大体大浪商,関大一,大阪学院大高,大商大高,13,7
2005,,大阪桐蔭,大商大堺,履正社,大体大浪商,ＰＬ学園,金光大阪,大阪産大付,大阪学院大高,15,3
2006,,大阪桐蔭,金光大阪,東大阪大柏原,近大付,関西創価,ＰＬ学園,和泉,初芝,4,3
2007,,金光大阪,大阪桐蔭,浪速,北陽,東大阪大柏原,旭,初芝,太成学院大高,4,3
2008,北,大阪桐蔭,履正社,箕面東,東海大仰星,大阪産大付,大冠,桜宮,四條畷,2,0
2008,南,近大付,ＰＬ学園,清教学園,羽曳野,上宮太子,大体大浪商,布施,三国丘,8,7
2009,,ＰＬ学園,関大北陽,履正社,大商大堺,大阪桐蔭,上宮太子,金光大阪,関西創価,10,0
2010,,履正社,大体大浪商,近大付,金光大阪,交野,桜塚,桜宮,箕面東,3,0
2011,,東大阪大柏原,大阪桐蔭,東海大仰星,履正社,大阪産大付,ＰＬ学園,大商大高,金光大阪,7,6
2012,,大阪桐蔭,履正社,近大付,大体大浪商,東大阪大柏原,城東工科,浪速,桜宮,10,8
2013,,大阪桐蔭,履正社,関西創価,東大阪大柏原,上宮太子,関大北陽,東海大仰星,桜宮,5,1
2014,,大阪桐蔭,ＰＬ学園,履正社,関大北陽,上宮,枚方津田,大体大浪商,明星,9,1
2015,,大阪偕星,大体大浪商,大冠,大阪産大付,大阪桐蔭,汎愛,ＰＬ学園,堺東,4,3
2016,,履正社,金光大阪,桜宮,関西創価,浪速,交野,近大泉州,吹田,12,0
2017,,大阪桐蔭,大冠,履正社,上宮,興国,大体大浪商,春日丘,汎愛,10,8
2018,北,大阪桐蔭,大阪学院大高,履正社,東海大仰星,金光大阪,寝屋川,香里丘,大冠,23,2
2018,南,近大付,大商大堺,大体大浪商,上宮太子,三国丘,近大泉州,初芝立命館,八尾,2,0
2019,,履正社,金光大阪,東海大仰星,近大付,大阪桐蔭,初芝立命館,桜宮,関大北陽,7,2
2021,,大阪桐蔭,興国,履正社,関大北陽,八尾,金光大阪,清教学園,大阪電通大高,4,3
2022,,大阪桐蔭,履正社,関西創価,上宮,近大付,近大泉州,東大阪大柏原,大阪電通大高,7,0
2023,,履正社,大阪桐蔭,関大北陽,箕面学園,興国,大阪,大体大浪商,大阪偕星,3,0
2024,,大阪桐蔭,東海大仰星,大商大高,履正社,東大阪大柏原,早稲田摂陵,上宮,大阪産大付,3,1
2025,,東大阪大柏原,大阪桐蔭,東海大仰星,履正社,関大一,豊中,大阪偕星,阪南大高,6,5
