年,ブロック,優勝,準優勝,ベスト4,ベスト4,ベスト8,ベスト8,ベスト8,ベスト8,決勝勝者得点,決勝敗者得点
2002,,浦和学院,坂戸西,春日部共栄,滑川,所沢商,武南,東農大三,花咲徳栄,6,1
2003,,聖望学園,春日部共栄,浦和学院,越谷西,花咲徳栄,春日部,春日部東,本庄第一,3,0
2004,,浦和学院,所沢商,聖望学園,埼玉栄,栄東,西武文理,所沢北,浦和実,6,2
2005,,春日部共栄,埼玉栄,浦和学院,花咲徳栄,久喜北陽,鷲宮,本庄東,東和大昌平,5,4
2006,,浦和学院,鷲宮,聖望学園,本庄第一,春日部共栄,東農大三,花咲徳栄,熊谷商,4,0
2007,,浦和学院,本庄第一,花咲徳栄,富士見,春日部東,昌平,立教新座,埼玉栄,6,2
2008,南,浦和学院,立教新座,武蔵越生,浦和実,西武文理,市立川口,埼玉栄,大宮西,4,1
2008,北,本庄第一,上尾,熊谷商,春日部,春日部共栄,成徳大深谷,越谷西,本庄東,4,3
2009,,聖望学園,埼玉栄,春日部東,川口青陵,本庄第一,市立川越,春日部共栄,浦和実,3,2
2010,,本庄第一,花咲徳栄,浦和学院,川越東,西武台,春日部共栄,所沢北,市立川越,3,2
2011,,花咲徳栄,春日部共栄,浦和学院,本庄第一,武南,秀明英光,狭山ヶ丘,浦和実,2,1
2012,,浦和学院,聖望学園,川口,春日部共栄,花咲徳栄,昌平,熊谷商,狭山ヶ丘,4,0
2013,,浦和学院,川越東,聖望学園,市立川口,埼玉平成,市立川越,本庄第一,所沢商,16,1
2014,,春日部共栄,市立川越,正智深谷,大宮東,狭山ヶ丘,昌平,蕨,本庄東,7,2
2015,,花咲徳栄,白岡,浦和学院,松山,熊谷,埼玉栄,聖望学園,西武文理,5,2
2016,,花咲徳栄,聖望学園,大宮東,春日部共栄,市立川越,熊谷商,浦和実,上尾,6,0
2017,,花咲徳栄,浦和学院,春日部共栄,山村学園,聖望学園,叡明,川越工,ふじみ野,5,2
2018,南,浦和学院,川口,聖望学園,川越東,朝霞,川口市立,市立川越,ふじみ野,17,5
2018,北,花咲徳栄,上尾,滑川総合,昌平,正智深谷,白岡,早大本庄,本庄東,4,1
2019,,花咲徳栄,山村学園,春日部共栄,大宮東,昌平,山村国際,川越工,市立川越,11,2
2021,,浦和学院,昌平,春日部共栄,川口,立教新座,松山,星野,山村学園,10,4
2022,,聖望学園,浦和学院,花咲徳栄,山村学園,浦和実,川越東,武南,西武台,1,0
2023,,浦和学院,花咲徳栄,川越東,昌平,埼玉栄,春日部東,秀明英光,東農大三,7,2
2024,,花咲徳栄,昌平,春日部共栄,山村学園,浦和学院,東農大三,浦和麗明,西武台,11,9
2025,,叡明,昌平,浦和実,山村学園,伊奈学園,川越東,聖望学園,西武台,5,2
